№ вопроса,Блок,Применимость,Исходный номер,Основной раздел,Вопрос,Ответ 1,Ответ 2,Ответ 3,Правильный вариант,Правильный ответ,Все группы вопроса,Примечание
51.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,1.51,Правовая подготовка,"В соответствии с положениями Федерального закона «Об оружии», не предусмотрено ограничение на выдачу оружия работникам юридических лиц с особыми уставными задачами (к которым относятся, в том числе, частные охранники), если они относятся к гражданам:","Освобожденным судом от уголовной ответственности за совершение умышленного преступления с назначением судебного штрафа либо по основаниям, не дающим права на реабилитацию в соответствии с уголовно-процессуальным законодательством Российской Федерации, - до истечения двух лет со дня вступления в законную силу соответствующего решения суда.","Освобожденным судом от уголовной ответственности за совершение умышленного преступления по основаниям, дающим право на реабилитацию в соответствии с уголовно-процессуальным законодательством Российской Федерации.","В отношении которых по результатам проверки, проведенной органами внутренних дел и (или) органами федеральной службы безопасности, имеется заключение о наличии опасности нарушения прав и свобод граждан, угрозы государственной или общественной безопасности.",2,"Освобожденным судом от уголовной ответственности за совершение умышленного преступления по основаниям, дающим право на реабилитацию в соответствии с уголовно-процессуальным законодательством Российской Федерации.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Правовая подготовка; Правовая подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Право / оружие: выдача, хранение, ношение, ограничения; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
52.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,2.1,Тактико-специальная подготовка,"Охранник, находящийся на посту в офисном помещении, услышал звуки выстрелов в соседней комнате. Какой из вариантов действий ему следует избрать?","Открыть дверь и войти в соседнюю комнату, чтобы оценить обстановку.","Укрыться и, не производя других действий, ждать развития ситуации.","Принять меры к оповещению правоохранительных органов, приготовить к применению имеющееся оружие (специальные средства), и далее используя обстановку офиса для укрытия, выяснить причину стрельбы.",3,"Принять меры к оповещению правоохранительных органов, приготовить к применению имеющееся оружие (специальные средства), и далее используя обстановку офиса для укрытия, выяснить причину стрельбы.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Тактико-специальная подготовка; Тактико-специальная подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Тактика / действия на посту и при угрозах; Тактика / огневой контакт, нападение, выбор укрытия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
53.0,"Частные охранники 4,5,6 разрядов",5–6 разряд,2.2,Тактико-специальная подготовка,На охраняемом объекте у одного из двух вооруженных охранников случился сердечный приступ. Какие действия второго охранника будут оптимальными: (5-6 разряд),"Вызвать «скорую помощь», сообщить о случившемся дежурному охранного предприятия; в случае госпитализации заболевшего, не забирая у него оружие, продолжить исполнение должностных обязанностей.","Вызвать «скорую помощь», сообщить о случившемся дежурному охранного предприятия; в случае госпитализации заболевшего забрать у него оружие (убрать его в сейф либо держать при себе) и по прибытии лица, ответственного за сохранность оружия в предприятии, передать ему оружие.","Сообщить о случившемся дежурному охранного предприятия, дождаться замены охранника, после чего вызвать «скорую помощь».",2,"Вызвать «скорую помощь», сообщить о случившемся дежурному охранного предприятия; в случае госпитализации заболевшего забрать у него оружие (убрать его в сейф либо держать при себе) и по прибытии лица, ответственного за сохранность оружия в предприятии, передать ему оружие.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Тактико-специальная подготовка; Тактико-специальная подготовка / все вопросы; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Тактика / действия на посту и при угрозах; Тактика / огневой контакт, нападение, выбор укрытия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
54.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,2.3,Тактико-специальная подготовка,"Какие действия охранника, вынужденного передвигаться под огнем противника, не помогают избежать поражения противником:","Передвигаться, каждые 3-5 секунд производя выстрелы в направлении противника (если охранник вооружен и противник виден охраннику).","Передвигаться кратчайшим путем, не меняя направление движения.","Передвигаться, каждые 3-5 секунд укрываясь за имеющимися укрытиями; при отсутствии укрытий - каждые 3-5 секунд резко менять направление движения.",2,"Передвигаться кратчайшим путем, не меняя направление движения.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Тактико-специальная подготовка; Тактико-специальная подготовка / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Тактика / действия на посту и при угрозах; Тактика / огневой контакт, нападение, выбор укрытия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
55.0,"Частные охранники 4,5,6 разрядов",6 разряд,2.4,Тактико-специальная подготовка,"Охранник был вынужден вступить в огневой контакт с преступником, вооруженным АК-47 на открытой местности. Непосредственно около охранника находилось отдельно стоящее дерево диаметром 30 см, в пяти метрах справа - пригорок высотой 1,5 метра, а в двадцати шагах сзади охранника - каменное здание. Какой из нижеуказанных вариантов выбора укрытия и поведения охранника наиболее безопасен? (6 разряд)",Переместиться за дерево и отслеживать действия противника.,Переместиться к каменному зданию и занять удобную позицию.,Переместиться за пригорок и отслеживать действия противника.,3,Переместиться за пригорок и отслеживать действия противника.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Тактико-специальная подготовка; Тактико-специальная подготовка / все вопросы; Частные охранники / 6 разряд; Тактика / действия на посту и при угрозах; Тактика / огневой контакт, нападение, выбор укрытия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
56.0,"Частные охранники 4,5,6 разрядов",6 разряд,2.5,Тактико-специальная подготовка,Охранник со служебным гладкоствольным длинноствольным ружьем охранял дом в дачном поселке. Произошло нападение трех вооруженных преступников. Предупредительный огонь не помог. Какой из типов ведения огня следует выбрать охраннику? (6 разряд),Заградительный.,Направляющий.,«На поражение».,3,«На поражение».,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Тактико-специальная подготовка; Тактико-специальная подготовка / все вопросы; Частные охранники / 6 разряд; Тактика / действия на посту и при угрозах; Тактика / огневой контакт, нападение, выбор укрытия; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
57.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.1,Первая помощь,"Каково содержание информации, сообщаемой при вызове скорой медицинской помощи?","Сообщить, кто вызывает, телефон вызывающего, что случилось, кто пострадал/заболел (пол, возраст), адрес с указанием подъездного пути, дома, подъезда, этажа, кода на входной двери.","Сообщить, что случилось, кто вызывает, телефон вызывающего, кто пострадал/заболел (пол, возраст), адрес с указанием подъездного пути, дома, подъезда, этажа, кода на входной двери.","Сообщить, что случилось, кто пострадал/заболел (пол, возраст), адрес с указанием подъездных путей, дома, подъезда, этажа, кода на входной двери, кто вызывает, телефон вызывающего.",3,"Сообщить, что случилось, кто пострадал/заболел (пол, возраст), адрес с указанием подъездных путей, дома, подъезда, этажа, кода на входной двери, кто вызывает, телефон вызывающего.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
58.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.2,Первая помощь,"Каков порядок действий при встрече медицинских работников, прибывающих по вызову?","Ожидать встречи «Скорой помощи» на месте происшествия, объясняя по телефону диспетчеру «03», как поехать к месту происшествия.","Направить кого-нибудь встречать «Скорую помощь», самому ожидать у места происшествия и оказывать первую помощь.","Направить кого-нибудь встречать «Скорую помощь», при сложном маршруте обозначить его дополнительными опознавательными знаками, самому ожидать у места происшествия и оказывать первую помощь.",3,"Направить кого-нибудь встречать «Скорую помощь», при сложном маршруте обозначить его дополнительными опознавательными знаками, самому ожидать у места происшествия и оказывать первую помощь.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
59.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.3,Первая помощь,Входят ли в состав аптечки первой помощи медицинские препараты?,"Входят медицинские препараты, отпускаемые в аптеках без рецепта (йод, нашатырный спирт, валидол, нитроглицерин и т.п.).",Не входят.,"Входят медицинские препараты, отпускаемые в аптеках без рецепта (йод, нашатырный спирт, валидол, нитроглицерин и т.п.), а также препараты для проведения комплексной противошоковой терапии (кордиамин, дексаметазон, кеторолака трометамин или баралгин и т.п.).",2,Не входят.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
60.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.4,Первая помощь,Какие из мероприятий по оценке обстановки и обеспечению безопасных условий для оказания первой помощи совершаются в порядке осмотра места происшествия?,Определение угрожающих факторов для собственной жизни и здоровья; определение угрожающих факторов для жизни и здоровья пострадавшего; оценка количества пострадавших.,Устранение угрожающих факторов для жизни и здоровья; прекращение действия повреждающих факторов на пострадавшего.,Придание правильного транспортного положения и организация транспортировки пострадавшего.,1,Определение угрожающих факторов для собственной жизни и здоровья; определение угрожающих факторов для жизни и здоровья пострадавшего; оценка количества пострадавших.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
61.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.5,Первая помощь,Первым действием (первым этапом) при оказании первой помощи является:,Предотвращение возможных осложнений.,Прекращение воздействия травмирующего фактора.,"Правильная транспортировка пострадавшего (производимая с учетом обстановки на месте происшествия, состояния и характера повреждений пострадавшего).",2,Прекращение воздействия травмирующего фактора.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
62.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.6,Первая помощь,Вторым действием (вторым этапом) при оказании первой помощи является:,"Устранение состояния, угрожающего жизни и здоровью пострадавшего.","Правильная транспортировка пострадавшего (производимая с учетом обстановки на месте происшествия, состояния и характера повреждений пострадавшего).",Предотвращение возможных осложнений.,1,"Устранение состояния, угрожающего жизни и здоровью пострадавшего.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
63.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.7,Первая помощь,Третьим действием (третьим этапом) при оказании первой помощи является:,Прекращение воздействия травмирующего фактора.,Предотвращение возможных осложнений.,"Правильная транспортировка пострадавшего (производимая с учетом обстановки на месте происшествия, состояния и характера повреждений пострадавшего).",3,"Правильная транспортировка пострадавшего (производимая с учетом обстановки на месте происшествия, состояния и характера повреждений пострадавшего).","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
64.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.8,Первая помощь,"Какие действия, предусмотренные в составе первой помощи, завершают ее оказание?",Передача пострадавшего бригаде скорой медицинской помощи.,Проведение мероприятий первичной медико-санитарной помощи.,Проведение мероприятий специализированной медицинской помощи.,1,Передача пострадавшего бригаде скорой медицинской помощи.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
65.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.9,Первая помощь,"Если пострадавший находится без сознания, в какое положение до прибытия скорой помощи он должен быть переведен?",В положении на спине.,В устойчивое боковое положение.,В положении полусидя.,2,В устойчивое боковое положение.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Первая помощь / СЛР, ИВЛ и критические состояния; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
66.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.10,Первая помощь,"Если пострадавший находится в сознании и задыхается, или у него имеется ранение грудной клетки, в какое положение до прибытия скорой помощи он должен быть переведен?",В положении на спине.,В устойчивое боковое положение.,В положении полусидя.,3,В положении полусидя.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / вызов помощи, безопасность, порядок действий; Первая помощь / кровотечения, ранения, жгуты и повязки; Первая помощь / СЛР, ИВЛ и критические состояния; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
67.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.11,Первая помощь,"Что надо делать в случае, если у пострадавшего развился приступ эпилепсии (судорожный приступ)?","Удерживать пострадавшего за руки и ноги, для предотвращения укуса языка и его западения ввести в рот ложку, по окончанию приступа перевести в устойчивое боковое положение.","Придерживать пострадавшего за голову, не давая ее разбить, по окончанию приступа перевести в устойчивое боковое положение.","Расслабить (расстегнуть) стягивающую одежду, убрать предметы, которые могут травмировать пострадавшего, подложить под голову мягкий, плоский предмет (например, подушку или свернутую одежду), зафиксировать время начала и конца приступа, по окончанию приступа перевести в устойчивое боковое положение.",3,"Расслабить (расстегнуть) стягивающую одежду, убрать предметы, которые могут травмировать пострадавшего, подложить под голову мягкий, плоский предмет (например, подушку или свернутую одежду), зафиксировать время начала и конца приступа, по окончанию приступа перевести в устойчивое боковое положение.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / СЛР, ИВЛ и критические состояния; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
68.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.12,Первая помощь,"Правильная транспортировка пострадавшего, находящегося без сознания (за исключением случаев, когда в связи с подозрением на травму позвоночника менять положение тела не рекомендуется) производится:",В положении на спине.,В положении на боку.,В положении с приподнятыми нижними конечностями.,2,В положении на боку.,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / кровотечения, ранения, жгуты и повязки; Первая помощь / СЛР, ИВЛ и критические состояния; Первая помощь / травмы, переломы, ожоги, отравления; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
69.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.13,Первая помощь,Способы временной остановки кровотечения:,"Частичное сгибание конечности, наложение пластыря, наложение давящей повязки.","Пальцевое прижатие, максимальное сгибание конечности, наложение жгута (закрутки), наложение давящей повязки.","Придание возвышенного положения конечности, наложение асептической повязки.",2,"Пальцевое прижатие, максимальное сгибание конечности, наложение жгута (закрутки), наложение давящей повязки.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / кровотечения, ранения, жгуты и повязки; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
70.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.14,Первая помощь,Какова правильная последовательность действий при остановке артериального кровотечения?,"Накладывается жгут (скрутка, ремень), накладывается чистая повязка, указывается время наложения жгута.","Проводится пальцевая остановка кровотечения, накладывается жгут (скрутка, ремень), накладывается чистая повязка, указывается время наложения жгута","Проводится пальцевая остановка кровотечения, накладывается чистая повязка, накладывается жгут (скрутка, ремень), указывается время наложения жгута",2,"Проводится пальцевая остановка кровотечения, накладывается жгут (скрутка, ремень), накладывается чистая повязка, указывается время наложения жгута","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / кровотечения, ранения, жгуты и повязки; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
71.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.15,Первая помощь,Техника наложения кровоостанавливающего жгута предусматривает:,Наложение жгута на одежду ниже места кровотечения (с указанием времени наложения в записке).,Наложение жгута на одежду выше места кровотечения (с указанием времени наложения в записке).,Наложение жгута под одежду выше места кровотечения.,2,Наложение жгута на одежду выше места кровотечения (с указанием времени наложения в записке).,"Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / кровотечения, ранения, жгуты и повязки; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
72.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.16,Первая помощь,Время наложения кровоостанавливающего жгута:,"Летом – не более чем на 1 час, зимой – не более чем на 30 минут.","Летом – не более чем на 30 минут, зимой – не более чем на 1 час.","Не более чем на 30 минут, независимо от окружающей температуры.",1,"Летом – не более чем на 1 час, зимой – не более чем на 30 минут.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / кровотечения, ранения, жгуты и повязки; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
73.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.17,Первая помощь,При вынужденном длительном наложении кровоостанавливающий жгут необходимо:,"Периодически ослаблять, применяя на это время пальцевое прижатие, затем переносить выше прежнего места наложения.","Периодически ослаблять, и затем переносить ниже прежнего места наложения.","Периодически ослаблять, применяя на это время пальцевое прижатие, затем накладывать на прежнее место.",1,"Периодически ослаблять, применяя на это время пальцевое прижатие, затем переносить выше прежнего места наложения.","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / кровотечения, ранения, жгуты и повязки; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
74.0,"Частные охранники 4,5,6 разрядов",4–6 разряд,3.18,Первая помощь,Действия по помощи пострадавшему при попадании инородного тела в дыхательные пути:,Положить пострадавшего на бок и вызвать интенсивную рвоту.,"Нанести пострадавшему, стоящему прямо, несколько интенсивных ударов ладонью между лопаток.","Нагнуть туловище пострадавшего вперед, нанести несколько интенсивных ударов ладонью между лопаток, при отсутствии эффекта - провести прием «Хемлика».",3,"Нагнуть туловище пострадавшего вперед, нанести несколько интенсивных ударов ладонью между лопаток, при отсутствии эффекта - провести прием «Хемлика».","Все вопросы / полный банк; Частные охранники / все вопросы; Частные охранники 4,5,6 разрядов / Первая помощь; Первая помощь / все вопросы; Частные охранники / 4 разряд; Частные охранники / 5 разряд; Частные охранники / 6 разряд; Первая помощь / кровотечения, ранения, жгуты и повязки; Первая помощь / СЛР, ИВЛ и критические состояния; Экзаменационный тест / частные охранники без огневой подготовки; Экзаменационный тест / частные охранники 5–6 разряды",
